procedure_name,code_type,code,modifier
Advanced Oncology Chest X-Ray,CPTCode,71045,
Screening Renal MRI Brain,CPTCode,70551,26.0
Screening ENT Blood Test,CPTCode,80050,
Specialized ENT ECG,CPTCode,93000,
Targeted Cardiac CT Scan,CPTCode,74177,
Diagnostic Pulmonary Radiologic exam chest 2 views,CPTCode,71046,
Targeted Oncology Subsequent hospital care high complexity,CPTCode,99233,
Routine Orthopedic Wheelchair,HCPCSCode,E1161,
Diagnostic Cardiac Office visit established patient low complexity,CPTCode,99213,
Comprehensive Orthopedic Office visit established patient moderate complexity,CPTCode,99214,
Therapeutic Dermatology Office visit new patient moderate complexity,CPTCode,99203,
Diagnostic Pediatric Annual wellness visit,CPTCode,G0439,
Screening Cardiac Preventive visit adult,CPTCode,99396,
Comprehensive Pulmonary MRI Spine lumbar,CPTCode,72148,26.0
Advanced Orthopedic MRI Knee,CPTCode,73721,26.0
Diagnostic Pulmonary MRI Shoulder,CPTCode,73221,26.0
Comprehensive Pulmonary CT Head,CPTCode,70450,
Comprehensive Cardiac CT Abdomen pelvis,CPTCode,74178,
Targeted Renal CT Chest,CPTCode,71250,
Routine Gastro Ultrasound abdomen,CPTCode,76700,
Specialized Pediatric Ultrasound pelvis,CPTCode,76856,
Comprehensive ENT Ultrasound thyroid,CPTCode,76536,
Targeted ENT Echocardiogram,CPTCode,93306,26.0
Comprehensive Pediatric Stress test,CPTCode,93015,
Therapeutic Pediatric Holter monitor,CPTCode,93224,
Follow-up ENT Pulmonary function test,CPTCode,94010,
Comprehensive Dermatology Spirometry,CPTCode,94060,
Specialized Oncology Colonoscopy,CPTCode,45378,
Comprehensive Oncology Upper endoscopy,CPTCode,43239,
Advanced Pulmonary Sigmoidoscopy,CPTCode,45331,
Comprehensive Gastro Bronchoscopy,CPTCode,31622,
Specialized Renal Cystoscopy,CPTCode,52000,
Comprehensive Pediatric Arthroscopy knee,CPTCode,29881,
Comprehensive Renal Arthroscopy shoulder,CPTCode,29826,
Therapeutic Neurological Lumbar puncture,CPTCode,62270,
Follow-up Gastro Bone marrow biopsy,CPTCode,38221,
Follow-up ENT Liver biopsy,CPTCode,47000,
Follow-up Oncology Kidney biopsy,CPTCode,50200,
Diagnostic Orthopedic Skin biopsy,CPTCode,11102,
Diagnostic Dermatology Fine needle aspiration,CPTCode,10021,
Specialized Pulmonary Excision of lesion skin,CPTCode,11400,
Emergency Dermatology Laceration repair simple,CPTCode,12001,
Diagnostic Cardiac Laceration repair complex,CPTCode,13100,
Advanced Dermatology Abscess incision drainage,CPTCode,10060,
Follow-up Pulmonary Nail removal,CPTCode,11730,
Therapeutic Orthopedic Cerumen removal,CPTCode,69210,
Specialized Renal Cataract surgery,CPTCode,66984,
Targeted Neurological Vitrectomy,CPTCode,67036,
Comprehensive Cardiac LASIK,CPTCode,66999,
Advanced Pediatric Tonsillectomy,CPTCode,42825,
Specialized Pulmonary Adenoidectomy,CPTCode,42830,
Screening Dermatology Septoplasty,CPTCode,30520,
Emergency Oncology Rhinoplasty,CPTCode,30400,
Follow-up ENT Sinus surgery,CPTCode,31256,
Routine Gastro Thyroidectomy total,CPTCode,60240,
Comprehensive Cardiac Parathyroidectomy,CPTCode,60500,
Screening Orthopedic Mastectomy simple,CPTCode,19301,
Screening Cardiac Lumpectomy,CPTCode,19301,
Specialized Renal Sentinel node biopsy,CPTCode,38792,
Follow-up Gastro Hysterectomy total abdominal,CPTCode,58150,
Therapeutic Gastro Hysterectomy laparoscopic,CPTCode,58570,
Follow-up ENT Myomectomy abdominal,CPTCode,58140,
Advanced Neurological Oophorectomy,CPTCode,58940,
Therapeutic Cardiac Tubal ligation,CPTCode,58600,
Specialized ENT Cesarean section,CPTCode,59510,
Diagnostic Oncology Normal vaginal delivery,CPTCode,59400,
Emergency Dermatology Dilation and curettage,CPTCode,58120,
Diagnostic Gastro Colposcopy,CPTCode,57454,
Follow-up Neurological LEEP procedure,CPTCode,57461,
Advanced Gastro Prostatectomy radical,CPTCode,55810,
Emergency Gastro Transurethral resection prostate,CPTCode,52601,
Specialized Oncology Vasectomy,CPTCode,55250,
Routine Gastro Orchiectomy,CPTCode,54520,
Follow-up Oncology Nephrectomy,CPTCode,50220,
Diagnostic ENT Cholecystectomy laparoscopic,CPTCode,47562,
Screening Gastro Appendectomy,CPTCode,44950,
Emergency Renal Hernia repair inguinal,CPTCode,49505,
Follow-up ENT Hernia repair ventral,CPTCode,49560,
Emergency Pediatric Colectomy partial,CPTCode,44140,
Targeted Renal Colostomy,CPTCode,44320,
Routine Orthopedic Hemorrhoidectomy,CPTCode,46250,
Follow-up Renal Fistulectomy,CPTCode,46270,
Routine Renal Splenectomy,CPTCode,38100,
Follow-up Dermatology Gastrectomy partial,CPTCode,43631,
Targeted Dermatology Gastric bypass,CPTCode,43644,
Therapeutic Dermatology Sleeve gastrectomy,CPTCode,43775,
Comprehensive Gastro Whipple procedure,CPTCode,48150,
Diagnostic Pediatric Coronary artery bypass graft,CPTCode,33533,
Therapeutic Pediatric Cardiac catheterization,CPTCode,93454,
Advanced Pediatric Percutaneous coronary intervention,CPTCode,92920,
Screening Oncology Pacemaker insertion,CPTCode,33206,
Emergency Cardiac Defibrillator insertion,CPTCode,33249,
Screening Cardiac Aortic valve replacement,CPTCode,33405,
Therapeutic Neurological Mitral valve repair,CPTCode,33425,
Advanced Dermatology Carotid endarterectomy,CPTCode,35301,
Diagnostic Pediatric Aortic aneurysm repair,CPTCode,35082,
Comprehensive Renal Peripheral vascular bypass,CPTCode,35556,
Advanced Gastro Varicose vein surgery,CPTCode,37700,
Screening Dermatology Arteriovenous fistula creation,CPTCode,36821,
Advanced Pulmonary Hip replacement total,CPTCode,27130,
Targeted Orthopedic Knee replacement total,CPTCode,27447,
Follow-up Neurological Shoulder replacement total,CPTCode,23472,
Specialized Renal Spinal fusion lumbar,CPTCode,22612,
Follow-up Dermatology Spinal fusion cervical,CPTCode,22551,
Screening Dermatology Laminectomy,CPTCode,63030,
Screening Orthopedic Discectomy,CPTCode,63030,
Therapeutic ENT Carpal tunnel release,CPTCode,64721,
Emergency Pulmonary Trigger finger release,CPTCode,26055,
Comprehensive Orthopedic Tendon repair,CPTCode,27650,
Screening Gastro Fracture repair closed,CPTCode,25600,
Comprehensive Renal Fracture repair open,CPTCode,25607,
Advanced Gastro Amputation lower extremity,CPTCode,27592,
Follow-up Pediatric Skin graft split thickness,CPTCode,15100,
Comprehensive Orthopedic Burn debridement,CPTCode,16020,
Routine Pediatric Flap reconstruction,CPTCode,15734,
Therapeutic Orthopedic Rhinoplasty secondary,CPTCode,30430,
Comprehensive Dermatology Blepharoplasty,CPTCode,15822,
Specialized Orthopedic Facelift,CPTCode,15824,
Therapeutic Pediatric Breast augmentation,CPTCode,19325,
Diagnostic Gastro Breast reduction,CPTCode,19318,
Advanced Cardiac Breast reconstruction,CPTCode,19357,
Routine Pediatric Liposuction,CPTCode,15877,
Comprehensive Pediatric Abdominoplasty,CPTCode,15847,
Follow-up ENT Craniotomy,CPTCode,61510,
Advanced Pediatric Craniectomy,CPTCode,61322,
Therapeutic Neurological Ventricular shunt,CPTCode,62220,
Diagnostic Orthopedic Deep brain stimulation,CPTCode,61863,
Diagnostic Pediatric Vagus nerve stimulation,CPTCode,64568,
Emergency Renal Electroencephalography,CPTCode,95819,
Screening Renal Nerve conduction study,CPTCode,95907,
Follow-up Cardiac EMG,CPTCode,95860,
Emergency Oncology Sleep study,CPTCode,95810,
Routine Neurological Tilt table test,CPTCode,93660,
Diagnostic Cardiac Bone density scan,CPTCode,77080,
Follow-up Neurological Nuclear medicine scan,CPTCode,78300,
Emergency Gastro PET scan,CPTCode,78816,
Follow-up Dermatology Mammogram screening,CPTCode,77067,
Screening Orthopedic Mammogram diagnostic,CPTCode,77066,
Emergency Pulmonary Pap smear,CPTCode,88141,
Targeted Oncology Urinalysis,CPTCode,81001,
Targeted Gastro Complete blood count,CPTCode,85025,
Comprehensive Neurological Comprehensive metabolic panel,CPTCode,80053,
Advanced ENT Lipid panel,CPTCode,80061,
Follow-up Orthopedic Thyroid panel,CPTCode,84436,
Follow-up Orthopedic Hemoglobin A1c,CPTCode,83036,
Screening Cardiac Prothrombin time,CPTCode,85610,
Advanced Renal PTT,CPTCode,85730,
Routine Neurological D-dimer,CPTCode,85379,
Specialized ENT Troponin,CPTCode,84484,
Follow-up Cardiac BNP,CPTCode,83880,
Screening Renal PSA,CPTCode,86316,
Routine Oncology CEA,CPTCode,82378,
Therapeutic Oncology CA-125,CPTCode,86304,
Emergency Neurological AFP,CPTCode,82105,
Targeted Oncology Beta HCG,CPTCode,84702,
Screening Dermatology Vitamin B12,CPTCode,82607,
Specialized Orthopedic Folate,CPTCode,82746,
Specialized Pulmonary Ferritin,CPTCode,82728,
Follow-up Gastro Iron studies,CPTCode,83540,
Routine Oncology Uric acid,CPTCode,84550,
Screening Oncology Cortisol,CPTCode,82533,
Targeted Oncology Testosterone,CPTCode,84402,
Therapeutic Cardiac Estradiol,CPTCode,82670,
Specialized Oncology FSH,CPTCode,83001,
Comprehensive Gastro LH,CPTCode,83002,
Targeted Orthopedic Progesterone,CPTCode,84144,
Routine Pulmonary Prolactin,CPTCode,84146,
Advanced Gastro DHEA,CPTCode,82626,
Therapeutic Neurological Insulin,CPTCode,83525,
Advanced Pulmonary C-peptide,CPTCode,84681,
Screening Pediatric Rheumatoid factor,CPTCode,86431,
Routine Pulmonary ANA,CPTCode,86038,
Targeted Oncology Anti-dsDNA,CPTCode,86060,
Targeted Pulmonary Anti-CCP,CPTCode,86200,
Emergency Cardiac ESR,CPTCode,85651,
Emergency Cardiac CRP,CPTCode,86140,
